,alls_POS,Pts,alls_Mat,alls_Wkts,Dots,alls_4s,alls_6s,Catches,Stumpings,Bat_POS,Bat_Inns,NO,Bat_Runs,HS,BF,100,50,Bat_Avg,Bat_SR,Bow_POS,Bow_Inns,Ov,Bow_Runs,BBI,4w,5w,Bow_Avg,Balls,economy,Bow_SR
90,91.0,52.5,9.0,0.0,0.0,12.0,5.0,2.0,0.0,45.0,9.0,2.0,156.0,70,130.0,0.0,1.0,22.29,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,92.0,50.0,13.0,0.0,1.0,10.0,4.0,4.0,0.0,42.0,12.0,8.0,165.0,33,120.0,0.0,0.0,41.25,137.5,99.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0
92,93.0,50.0,5.0,3.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,59.0,5.0,19.0,191.0,0.0,0.0,0.0,63.67,114.0,10.05,38.0
93,94.0,49.5,5.0,2.0,19.0,2.0,1.0,6.0,0.0,79.0,4.0,3.0,26.0,11,22.0,0.0,0.0,26.0,118.18,62.0,3.0,6.2,42.0,0.0,0.0,0.0,21.0,38.0,6.63,19.0
94,95.0,48.5,5.0,0.0,0.0,13.0,1.0,4.0,1.0,57.0,5.0,0.0,86.0,28,53.0,0.0,0.0,17.2,162.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,96.0,48.0,4.0,3.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,58.0,4.0,16.0,152.0,0.0,0.0,0.0,50.67,96.0,9.5,32.0
96,97.0,47.5,7.0,1.0,38.0,1.0,1.0,0.0,0.0,86.0,4.0,1.0,18.0,9,19.0,0.0,0.0,6.0,94.74,75.0,7.0,20.0,166.0,0.0,0.0,0.0,166.0,120.0,8.3,120.0
97,98.0,47.0,8.0,0.0,0.0,13.0,2.0,3.0,0.0,47.0,7.0,1.0,141.0,50,118.0,0.0,1.0,23.5,119.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,99.0,45.5,6.0,3.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,22.0,233.0,0.0,0.0,0.0,77.67,132.0,10.59,44.0
99,100.0,45.5,4.0,0.0,3.0,6.0,5.0,4.0,0.0,62.0,4.0,1.0,71.0,44,48.0,0.0,0.0,23.67,147.92,100.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0
